"","ID","municipio","estado","populacao_total","populacao_urbana","populacao_urbana_antendida_agua","indice_atendimento_urbano_esgoto"
"585",251640,"Tacima","PB",10822,4606,4606,NA
"586",251650,"Taperoá","PB",15376,9202,NA,NA
"587",251660,"Tavares","PB",14568,6834,6834,99.66
"588",251670,"Teixeira","PB",14974,10190,9520,NA
"589",251675,"Tenório","PB",3011,1791,1200,0.06
"590",251680,"Triunfo","PB",9447,4415,NA,NA
"591",251690,"Uiraúna","PB",15228,10806,10806,NA
"592",251700,"Umbuzeiro","PB",9889,4239,1360,23.59
"593",251710,"Várzea","PB",2747,2013,2013,89.42
"594",251720,"Vieirópolis","PB",5295,1045,1045,NA
"595",251740,"Zabelê","PB",2208,1566,1566,NA
"596",260010,"Afogados da Ingazeira","PE",36709,28668,28668,NA
"597",260020,"Afrânio","PE",19031,6343,6343,NA
"598",260030,"Agrestina","PE",24256,18136,18136,NA
"599",260050,"Águas Belas","PE",42566,25987,20270,NA
"600",260060,"Alagoinha","PE",14341,8098,6273,NA
"601",260080,"Altinho","PE",22876,13075,13075,NA
"602",260100,"Angelim","PE",10882,6493,6493,NA
"603",260110,"Araripina","PE",82800,50244,50244,70.72
"604",260120,"Arcoverde","PE",72625,66159,66159,5.83
"605",260160,"Belém de São Francisco","PE",20675,12844,12844,NA
"606",260170,"Belo Jardim","PE",75462,60669,60669,80.57
"607",260180,"Betânia","PE",12539,3878,3878,100
"608",260190,"Bezerros","PE",60386,51197,48789,NA
"609",260200,"Bodocó","PE",37317,13612,13612,100
"610",260210,"Bom Conselho","PE",47760,31256,30960,NA
"611",260220,"Bom Jardim","PE",38924,15636,15636,NA
"612",260240,"Brejão","PE",8989,3622,3622,NA
"613",260250,"Brejinho","PE",7464,3459,3459,NA
"614",260260,"Brejo da Madre de Deus","PE",49092,38165,27327,52.4
"615",260280,"Buíque","PE",56523,22992,17066,NA
"616",260300,"Cabrobó","PE",33247,21320,21320,100
"617",260310,"Cachoeirinha","PE",19951,16120,16120,NA
"618",260320,"Caetés","PE",28145,7964,6536,NA
"619",260330,"Calçado","PE",11136,3814,3814,NA
"620",260340,"Calumbi","PE",5745,2217,2217,NA
"621",260350,"Camocim de São Félix","PE",18292,15322,13072,NA
"622",260370,"Canhotinho","PE",24837,14288,14181,NA
"623",260380,"Capoeiras","PE",19997,6392,6392,NA
"624",260390,"Carnaíba","PE",19318,7929,7929,NA
"625",260392,"Carnaubeira da Penha","PE",12603,2120,1200,56.6
"626",260410,"Caruaru","PE",347088,308156,308156,49.6
"627",260415,"Casinhas","PE",14219,1760,1670,NA
"628",260430,"Cedro","PE",11515,6721,6721,100
"629",260450,"Chã Grande","PE",21274,14465,13598,NA
"630",260470,"Correntes","PE",17968,10655,10655,NA
"631",260490,"Cumaru","PE",13132,6144,6144,NA
"632",260500,"Cupira","PE",23841,21188,21188,NA
"633",260510,"Custódia","PE",36184,23210,21359,NA
"634",260515,"Dormentes","PE",18321,6502,6502,78.08
"635",260530,"Exu","PE",31928,16453,16453,NA
"636",260560,"Flores","PE",22588,9541,9541,NA
"637",260570,"Floresta","PE",31809,21694,21694,NA
"638",260580,"Frei Miguelinho","PE",15137,3589,3589,NA
"639",260600,"Garanhuns","PE",136949,122078,122078,11.23
"640",260630,"Granito","PE",7308,3388,3388,99.41
"641",260640,"Gravatá","PE",81893,73246,73246,2.06
"642",260650,"Iati","PE",19010,7991,NA,NA
"643",260660,"Ibimirim","PE",28604,15807,15556,NA
"644",260670,"Ibirajuba","PE",7725,3220,3220,NA
"645",260690,"Iguaraci","PE",12137,6296,6296,20.65
"646",260700,"Inajá","PE",21932,9147,9147,54.89
"647",260710,"Ingazeira","PE",4556,2489,2147,NA
"648",260730,"Ipubi","PE",29721,18262,16799,44.69
"649",260740,"Itacuruba","PE",4754,4035,4035,NA
"650",260750,"Itaíba","PE",26412,9746,9746,NA
"651",260770,"Itapetim","PE",13780,8365,8365,NA
"652",260800,"Jataúba","PE",16858,9787,2592,NA
"653",260805,"Jatobá","PE",14587,6354,6354,NA
"654",260810,"João Alfredo","PE",32939,16093,16093,NA
"655",260825,"Jucati","PE",11202,2987,2987,NA
"656",260830,"Jupi","PE",14525,8856,2576,NA
"657",260840,"Jurema","PE",15171,9132,9132,NA
"658",260860,"Lagoa do Ouro","PE",12865,6393,6393,NA
"659",260870,"Lagoa dos Gatos","PE",16161,8943,8943,NA
"660",260875,"Lagoa Grande","PE",24757,11330,11330,78.76
"661",260880,"Lajedo","PE",39240,28277,28277,NA
"662",260915,"Manari","PE",20302,4287,4287,NA
"663",260930,"Mirandiba","PE",15098,7535,7535,NA
"664",260970,"Orobó","PE",23663,8515,7434,NA
"665",260980,"Orocó","PE",14445,5060,5060,NA
"666",260990,"Ouricuri","PE",67676,34276,34276,NA
"667",261010,"Palmeirina","PE",7969,5039,5039,NA
"668",261020,"Panelas","PE",26464,14410,14410,100
"669",261030,"Paranatama","PE",11357,2314,1392,NA
"670",261040,"Parnamirim","PE",21193,8778,8778,NA
"671",261050,"Passira","PE",28982,14117,14117,NA
"672",261080,"Pedra","PE",22401,12833,10734,NA
"673",261090,"Pesqueira","PE",66153,47436,40933,NA
"674",261100,"Petrolândia","PE",35342,25693,25476,NA
"675",261110,"Petrolina","PE",331951,247544,247544,84.64
"676",261120,"Poção","PE",11265,7002,6686,NA
"677",261153,"Quixaba","PE",6823,2526,2526,NA
"678",261170,"Riacho das Almas","PE",20177,9226,9226,NA
"679",261200,"Sairé","PE",10437,5855,5855,NA
"680",261210,"Salgadinho","PE",10423,3427,3427,NA
"681",261220,"Salgueiro","PE",59769,48248,48248,41.32
"682",261230,"Saloá","PE",15742,7885,5552,NA
"683",261240,"Sanharó","PE",25047,14260,14260,NA
"684",261245,"Santa Cruz","PE",14857,4860,4860,NA
"685",261247,"Santa Cruz da Baixa Verde","PE",12375,5549,191,NA
"686",261250,"Santa Cruz do Capibaribe","PE",101485,99181,78656,NA
"687",261255,"Santa Filomena","PE",14172,2359,2359,100
"688",261260,"Santa Maria da Boa Vista","PE",41293,15577,15577,NA
"689",261270,"Santa Maria do Cambucá","PE",13826,3477,3477,NA
"690",261280,"Santa Terezinha","PE",11627,7274,7274,NA
"691",261300,"São Bento do Una","PE",57659,30214,27118,NA
"692",261310,"São Caitano","PE",36763,28222,28222,NA
"693",261320,"São João","PE",22403,10150,10150,NA
"694",261330,"São Joaquim do Monte","PE",21171,14593,14593,NA
"695",261350,"São José do Belmonte","PE",33677,16693,16693,95.85
"696",261360,"São José do Egito","PE",33365,21971,21971,100
"697",261390,"Serra Talhada","PE",84352,65235,65235,99.56
"698",261400,"Serrita","PE",19017,6594,6594,NA
"699",261410,"Sertânia","PE",35367,19425,19425,NA
"700",261430,"Moreilândia","PE",11242,6906,5336,NA
"701",261440,"Solidão","PE",5949,1896,1896,NA
"702",261450,"Surubim","PE",63166,47536,47536,NA
"703",261460,"Tabira","PE",27958,20914,20914,NA
"704",261470,"Tacaimbó","PE",12891,7177,7177,NA
"705",261480,"Tacaratu","PE",24626,10257,10257,NA
"706",261500,"Taquaritinga do Norte","PE",27592,19900,8630,90.45
"707",261510,"Terezinha","PE",7057,2996,2996,NA
"708",261520,"Terra Nova","PE",10185,5504,5504,NA
"709",261540,"Toritama","PE",42123,40430,34414,NA
"710",261560,"Trindade","PE",29519,25391,25391,NA
"711",261570,"Triunfo","PE",15250,8073,7946,NA
"712",261580,"Tupanatinga","PE",26454,9243,9243,97.37
"713",261590,"Tuparetama","PE",8149,6531,6531,NA
"714",261600,"Venturosa","PE",17870,11514,8992,NA
"715",261610,"Verdejante","PE",9450,2783,2783,NA
"716",261618,"Vertente do Lério","PE",7746,1784,1784,NA
"717",261620,"Vertentes","PE",19976,14187,14187,NA
"718",270010,"Água Branca","AL",20434,5379,5230,NA
"719",270030,"Arapiraca","AL",231053,195937,194316,17.35
"720",270070,"Batalha","AL",18496,13043,11581,37.91
"721",270090,"Belo Monte","AL",6775,1129,1095,NA
"722",270120,"Cacimbinhas","AL",10818,5732,1905,NA
"723",270160,"Canapi","AL",17976,5771,5526,NA
"724",270180,"Carneiros","AL",8969,5087,4993,NA
"725",270200,"Coité do Nóia","AL",10992,3760,3020,NA
"726",270235,"Craíbas","AL",24288,7861,7674,NA
"727",270240,"Delmiro Gouveia","AL",51997,37681,37190,1.01
"728",270250,"Dois Riachos","AL",11224,5246,3829,NA
"729",270255,"Estrela de Alagoas","AL",18306,4275,3834,NA
"730",270290,"Girau do Ponciano","AL",40519,12508,12405,NA
"731",270310,"Igaci","AL",26041,6393,6076,NA
"732",270330,"Inhapi","AL",18621,6970,6686,NA
"733",270340,"Jacaré dos Homens","AL",5429,3041,2945,NA
"734",270370,"Jaramataia","AL",5695,2985,2646,NA
"735",270410,"Lagoa da Canoa","AL",18343,9212,8576,NA
"736",270440,"Major Isidoro","AL",20047,9872,7934,NA
"737",270460,"Maravilha","AL",9770,4880,4824,NA
"738",270500,"Mata Grande","AL",25590,5879,5528,NA
"739",270530,"Minador do Negrão","AL",5425,2316,1694,NA
"740",270540,"Monteirópolis","AL",7241,2626,2414,NA
"741",270570,"Olho D ÁGUA das Flores","AL",21641,14866,13827,NA
"742",270580,"Olho D ÁGUA do Casado","AL",9298,4410,4277,NA
"743",270600,"Olivença","AL",11688,3319,3067,NA
"744",270610,"Ouro Branco","AL",11537,7274,4865,NA
"745",270620,"Palestina","AL",5004,3169,3061,NA
"746",270630,"Palmeira dos Índios","AL",73878,54184,52306,4.37
"747",270640,"Pão de Açúcar","AL",24878,11252,10930,NA
"748",270642,"Pariconha","AL",10601,2888,2731,NA
"749",270710,"Piranhas","AL",24950,14279,14180,51.24
"750",270720,"Poço das Trincheiras","AL",14493,2134,2091,NA
"751",270760,"Quebrangulo","AL",11592,6537,6336,14.66
"752",270800,"Santana do Ipanema","AL",47820,28932,27155,7.41
"753",270840,"São José da Tapera","AL",32271,12481,11095,NA
"754",270895,"Senador Rui Palmeira","AL",13909,4205,4124,NA
"755",270920,"Traipu","AL",27798,8682,8621,NA
"756",280010,"Amparo de São Francisco","SE",2374,1920,1708,NA
"757",280020,"Aquidabã","SE",21312,12174,10907,NA
"758",280110,"Canhoba","SE",4057,1537,1520,NA
"759",280120,"Canindé de São Francisco","SE",28279,16110,11781,NA
"760",280140,"Carira","SE",21484,11991,11672,NA
"761",280160,"Cedro de São João","SE",5890,5265,5174,NA
"762",280190,"Cumbe","SE",3985,2373,2293,NA
"763",280220,"Feira Nova","SE",5573,3755,3636,NA
"764",280230,"Frei Paulo","SE",15047,8907,8739,NA
"765",280240,"Gararu","SE",11724,2911,2332,NA
"766",280260,"Gracho Cardoso","SE",5848,2800,2756,NA
"767",280310,"Itabi","SE",5017,2777,2747,NA
"768",280370,"Macambira","SE",6824,3265,3176,84.07
"769",280420,"Monte Alegre de Sergipe","SE",14853,8767,8554,NA
"770",280445,"Nossa Senhora Aparecida","SE",8830,3586,3534,99.94
"771",280450,"Nossa Senhora da Glória","SE",35726,23765,23453,NA
"772",280460,"Nossa Senhora das Dores","SE",26240,17109,16368,NA
"773",280470,"Nossa Senhora de Lourdes","SE",6494,3426,3300,NA
"774",280500,"Pedra Mole","SE",3199,1288,1269,NA
"775",280520,"Pinhão","SE",6440,3578,3397,NA
"776",280540,"Poço Redondo","SE",33757,9333,8328,NA
"777",280550,"Poço Verde","SE",23416,13115,12942,NA
"778",280560,"Porto da Folha","SE",28492,10449,10308,NA
"779",280570,"Propriá","SE",29655,25422,25123,NA
"780",280600,"Ribeirópolis","SE",18362,12754,12231,NA
"781",280700,"São Miguel do Aleixo","SE",3902,1843,1750,NA
"782",280710,"Simão Dias","SE",40526,21389,20912,13.21
"783",280730,"Telha","SE",3170,1208,1190,NA
"784",280740,"Tobias Barreto","SE",51375,34465,32229,NA
"785",290010,"Abaíra","BA",9226,4145,NA,NA
"786",290020,"Abaré","BA",19574,10357,10357,63.22
"787",290035,"Adustina","BA",17153,6087,6087,NA
"788",290040,"Água Fria","BA",17043,6259,6259,NA
"789",290050,"Érico Cardoso","BA",11437,2123,1022,NA
"790",290100,"Amargosa","BA",37807,27395,27395,3.81
"791",290115,"América Dourada","BA",16923,11485,11485,NA
"792",290120,"Anagé","BA",20096,3878,3878,NA
"793",290130,"Andaraí","BA",13723,7641,7641,NA
"794",290135,"Andorinha","BA",14791,6370,6370,NA
"795",290150,"Anguera","BA",11299,4772,4772,NA
"796",290160,"Antas","BA",19183,7146,7146,NA
"797",290170,"Antônio Cardoso","BA",12225,3412,3412,NA
"798",290180,"Antônio Gonçalves","BA",12187,6398,6398,NA
"799",290200,"Aracatu","BA",14089,4037,4037,NA
"800",290210,"Araci","BA",56370,21432,21432,4.83
"801",290260,"Baixa Grande","BA",21197,8811,8811,NA
"802",290265,"Banzaê","BA",13711,4691,4691,NA
"803",290270,"Barra","BA",54188,24659,NA,NA
"804",290280,"Barra da Estiva","BA",22394,10997,9700,78.2
"805",290290,"Barra do Choça","BA",34853,22449,22449,2.14
"806",290300,"Barra do Mendes","BA",14526,6497,6497,NA
"807",290323,"Barro Alto","BA",15377,7582,6393,NA
"808",290327,"Barrocas","BA",15770,6329,5880,NA
"809",290350,"Belo Campo","BA",18383,10360,6777,NA
"810",290360,"Biritinga","BA",15799,3745,3745,NA
"811",290370,"Boa Nova","BA",14577,5490,5490,60.18
"812",290380,"Boa Vista do Tupim","BA",18658,6837,6837,NA
"813",290390,"Bom Jesus da Lapa","BA",69526,47204,47204,100
"814",290395,"Bom Jesus da Serra","BA",10554,2889,2889,NA
"815",290400,"Boninal","BA",14585,4906,4906,NA
"816",290405,"Bonito","BA",16873,7089,6921,NA
"817",290410,"Boquira","BA",22429,7495,NA,NA
"818",290420,"Botuporã","BA",11021,4027,4027,NA
"819",290430,"Brejões","BA",15214,5259,5259,100
"820",290440,"Brejolândia","BA",10698,1916,1916,NA
"821",290450,"Brotas de Macaúbas","BA",11070,3221,3221,NA
"822",290460,"Brumado","BA",69255,48382,48382,9.1
"823",290475,"Buritirama","BA",21549,8691,NA,NA
"824",290480,"Caatiba","BA",10166,4805,4805,NA
"825",290485,"Cabaceiras do Paraguaçu","BA",18978,5087,5087,12.25
"826",290500,"Caculé","BA",23545,14092,14092,NA
"827",290510,"Caém","BA",10143,3576,2948,NA
"828",290515,"Caetanos","BA",15982,3856,3856,NA
"829",290520,"Caetité","BA",52531,31450,31450,NA
"830",290530,"Cafarnaum","BA",18695,11475,11475,NA
"831",290550,"Caldeirão Grande","BA",13641,4978,4978,NA
"832",290590,"Campo Alegre de Lourdes","BA",29938,8661,8650,99.87
"833",290600,"Campo Formoso","BA",72271,26974,26974,10.98
"834",290620,"Canarana","BA",26382,12557,12557,NA
"835",290640,"Candeal","BA",9011,3521,3521,NA
"836",290660,"Candiba","BA",14667,8577,8577,NA
"837",290670,"Cândido Sales","BA",26855,18552,16524,NA
"838",290680,"Cansanção","BA",35235,11800,11800,NA
"839",290682,"Canudos","BA",17177,9497,9497,NA
"840",290685,"Capela do Alto Alegre","BA",12118,5882,5882,NA
"841",290687,"Capim Grosso","BA",29346,24029,24029,0
"842",290689,"Caraíbas","BA",10016,2462,2462,50
"843",290710,"Carinhanha","BA",29955,13283,13283,42.35
"844",290720,"Casa Nova","BA",72172,41724,34000,43.14
"845",290730,"Castro Alves","BA",27286,16845,16845,3.9
"846",290755,"Caturama","BA",9762,2621,2621,66.62
"847",290760,"Central","BA",18140,8697,8697,NA
"848",290770,"Chorrochó","BA",11522,2824,2824,0
"849",290780,"Cícero Dantas","BA",34478,18921,18921,NA
"850",290790,"Cipó","BA",17602,12610,12610,NA
"851",290810,"Cocos","BA",19396,9159,NA,NA
"852",290840,"Conceição do Coité","BA",68146,39848,39848,9.06
"853",290870,"Condeúba","BA",18269,8067,8067,NA
"854",290880,"Contendas do Sincorá","BA",4326,2131,2131,NA
"855",290900,"Cordeiros","BA",8834,2759,2759,NA
"856",290910,"Coribe","BA",14976,6428,6099,NA
"857",290920,"Coronel João Sá","BA",17098,7056,7056,55.41
"858",290950,"Cravolândia","BA",5560,3507,3279,73.99
"859",290960,"Crisópolis","BA",21617,9287,9287,NA
"860",290990,"Curaçá","BA",35208,15015,14557,63.19
"861",291010,"Dom Basílio","BA",12499,2467,NA,NA
"862",291030,"Elísio Medrado","BA",8434,3447,3447,NA
"863",291040,"Encruzilhada","BA",20331,4389,4389,90.59
"864",291070,"Euclides da Cunha","BA",60666,29548,29548,30.06
"865",291075,"Fátima","BA",18481,7241,7241,NA
"866",291077,"Feira da Mata","BA",5914,3101,NA,NA
"867",291080,"Feira de Santana","BA",617528,566489,565540,60.18
"868",291085,"Filadélfia","BA",17583,9476,9476,NA
"869",291125,"Gavião","BA",4712,2622,2622,100
"870",291130,"Gentio do Ouro","BA",11423,5753,3778,41.91
"871",291140,"Glória","BA",16072,3014,3014,96.02
"872",291165,"Guajeru","BA",8805,1756,1756,NA
"873",291170,"Guanambi","BA",85797,68092,68092,58.98
"874",291185,"Heliópolis","BA",13762,5663,5663,NA
"875",291190,"Iaçu","BA",26178,20514,20514,NA
"876",291200,"Ibiassucê","BA",10502,4912,4912,NA
"877",291220,"Ibicoara","BA",19548,12398,4572,NA
"878",291240,"Ibipeba","BA",18674,11033,9188,NA
"879",291250,"Ibipitanga","BA",15296,5564,5564,NA
"880",291260,"Ibiquera","BA",5158,2609,2609,NA
"881",291300,"Ibitiara","BA",16699,3701,3638,39.48
"882",291310,"Ibititá","BA",18727,8753,8753,NA
"883",291320,"Ibotirama","BA",27655,21212,21212,84.84
"884",291330,"Ichu","BA",6311,4041,4041,NA
"885",291340,"Igaporã","BA",16225,8392,NA,NA
"886",291350,"Iguaí","BA",27787,15761,15614,11.99
"887",291370,"Inhambupe","BA",40915,17620,17620,NA
"888",291380,"Ipecaetá","BA",15521,2670,2670,NA
"889",291400,"Ipirá","BA",62095,30354,30354,9.47
"890",291410,"Ipupiara","BA",10113,6512,6512,67.77
"891",291420,"Irajuba","BA",7472,3493,3493,NA
"892",291430,"Iramaia","BA",10487,4727,4727,NA
"893",291440,"Iraquara","BA",25006,7476,7476,NA
"894",291460,"Irecê","BA",73380,67656,67656,20.4
"895",291470,"Itaberaba","BA",66310,52166,52166,16.04
"896",291500,"Itaeté","BA",16446,6842,6842,NA
"897",291510,"Itagi","BA",13359,10451,10451,NA
"898",291535,"Itaguaçu da Bahia","BA",14667,2885,2885,NA
"899",291580,"Itambé","BA",23327,19901,19381,3.39
"900",291640,"Itapetinga","BA",76184,73956,73956,94.24
"901",291650,"Itapicuru","BA",35987,7446,7446,NA
"902",291670,"Itaquara","BA",8519,5113,5113,100
"903",291680,"Itarantim","BA",20091,16583,16014,NA
"904",291685,"Itatim","BA",14763,10280,10280,NA
"905",291690,"Itiruçu","BA",13307,9987,8455,100
"906",291700,"Itiúba","BA",38492,10338,10338,5.12
"907",291710,"Itororó","BA",21178,19249,18460,95.9
"908",291720,"Ituaçu","BA",19406,7032,7032,49.77
"909",291733,"Iuiú","BA",11331,5493,5493,NA
"910",291740,"Jacaraci","BA",15409,5557,4227,NA
"911",291750,"Jacobina","BA",84811,59791,59791,7.01
"912",291760,"Jaguaquara","BA",55449,42230,42230,41.89
"913",291770,"Jaguarari","BA",33186,18168,18168,51.35
"914",291800,"Jequié","BA",161528,148268,148268,95.52
"915",291810,"Jeremoabo","BA",41100,19020,19020,NA
"916",291835,"João Dourado","BA",25141,15129,15129,NA
"917",291840,"Juazeiro","BA",218324,177309,177309,72.36
"918",291850,"Jussara","BA",15841,10579,10579,NA
"919",291860,"Jussiape","BA",7229,2762,2762,NA
"920",291870,"Lafaiete Coutinho","BA",4020,2168,2168,NA
"921",291875,"Lagoa Real","BA",15801,3184,3184,NA
"922",291900,"Lajedinho","BA",3974,1257,1257,76.37
"923",291905,"Lajedo do Tabocal","BA",8836,5478,4499,NA
"924",291910,"Lamarão","BA",9442,2059,2059,NA
"925",291915,"Lapão","BA",27521,10785,10785,NA
"926",291930,"Lençóis","BA",11445,8872,8683,57.17
"927",291940,"Licínio de Almeida","BA",12966,6586,5705,NA
"928",291950,"Livramento de Nossa Senhora","BA",46035,22137,22137,NA
"929",291960,"Macajuba","BA",11837,7243,7243,99.99
"930",291970,"Macarani","BA",18786,14990,14847,NA
"931",291980,"Macaúbas","BA",50262,16463,16449,NA
"932",291990,"Macururé","BA",8365,2963,2000,NA
"933",291995,"Maetinga","BA",5174,2071,2071,NA
"934",292000,"Maiquinique","BA",10082,7940,7387,NA
"935",292010,"Mairi","BA",20097,11558,11558,NA
"936",292020,"Malhada","BA",17455,7149,7006,NA
"937",292030,"Malhada de Pedras","BA",8896,3397,3397,NA
"938",292040,"Manoel Vitorino","BA",14488,7411,6880,NA
"939",292050,"Maracás","BA",23751,17087,13455,NA
"940",292080,"Marcionílio Souza","BA",10951,5540,5540,NA
"941",292105,"Matina","BA",12314,3837,3837,NA
"942",292120,"Miguel Calmon","BA",27536,16710,16710,28.02
"943",292130,"Milagres","BA",11659,8812,8812,NA
"944",292140,"Mirangaba","BA",18039,8731,3279,NA
"945",292145,"Mirante","BA",9902,1705,1705,NA
"946",292150,"Monte Santo","BA",54733,9250,9250,NA
"947",292160,"Morpará","BA",8967,5997,5997,NA
"948",292170,"Morro do Chapéu","BA",36717,21162,21162,66.57
"949",292180,"Mortugaba","BA",12477,5887,5887,NA
"950",292190,"Mucugê","BA",10244,4061,4061,100
"951",292205,"Mulungu do Morro","BA",12200,5895,5895,NA
"952",292210,"Mundo Novo","BA",27165,15104,15083,NA
"953",292225,"Muquém de São Francisco","BA",11495,1436,1436,93.45
"954",292265,"Nordestina","BA",13321,4222,4222,NA
"955",292270,"Nova Canaã","BA",17082,7003,7003,NA
"956",292273,"Nova Fátima","BA",8125,5423,5423,NA
"957",292280,"Nova Itarana","BA",8312,3035,3035,NA
"958",292285,"Nova Redenção","BA",9470,6173,6173,NA
"959",292290,"Nova Soure","BA",25854,12565,12565,NA
"960",292303,"Novo Horizonte","BA",12238,4019,221,NA
"961",292305,"Novo Triunfo","BA",15993,7973,7487,NA
"962",292310,"Olindina","BA",26817,13733,13733,72.82
"963",292320,"Oliveira dos Brejinhos","BA",22774,6868,6858,NA
"964",292335,"Ourolândia","BA",17775,6862,6862,NA
"965",292340,"Palmas de Monte Alto","BA",22416,10609,10609,NA
"966",292350,"Palmeiras","BA",9130,5688,5213,56.54
"967",292360,"Paramirim","BA",22077,10543,10543,NA
"968",292370,"Paratinga","BA",32636,12063,NA,NA
"969",292380,"Paripiranga","BA",29878,10254,10254,NA
"970",292400,"Paulo Afonso","BA",119214,102726,101289,32.95
"971",292405,"Pé de Serra","BA",14471,5445,5445,NA
"972",292420,"Pedro Alexandre","BA",18135,2973,2973,NA
"973",292430,"Piatã","BA",18473,7820,NA,NA
"974",292440,"Pilão Arcado","BA",35428,11889,NA,NA
"975",292450,"Pindaí","BA",16805,4644,4410,NA
"976",292460,"Pindobaçu","BA",21062,11763,NA,NA
"977",292465,"Pintadas","BA",10742,6066,6066,86.55
"978",292470,"Piripá","BA",12238,5931,5931,NA
"979",292480,"Piritiba","BA",25027,16941,16480,NA
"980",292490,"Planaltino","BA",9473,3909,3909,NA
"981",292500,"Planalto","BA",26632,16175,16175,NA
"982",292510,"Poções","BA",48729,37782,37782,NA
"983",292525,"Ponto Novo","BA",16168,8632,8632,NA
"984",292540,"Potiraguá","BA",8969,6038,5425,NA
"985",292560,"Presidente Dutra","BA",14712,9690,9690,NA
"986",292570,"Presidente Jânio Quadros","BA",13178,4052,4052,0.02
"987",292580,"Queimadas","BA",26083,13244,13244,NA
"988",292590,"Quijingue","BA",28655,6711,6711,NA
"989",292593,"Quixabeira","BA",10033,3847,3847,NA
"990",292595,"Rafael Jambeiro","BA",24349,7292,7292,NA
"991",292600,"Remanso","BA",42275,25469,18752,48
"992",292610,"Retirolândia","BA",13319,7427,7427,NA
"993",292630,"Riachão do Jacuípe","BA",35403,21196,21196,2.89
"994",292640,"Riacho de Santana","BA",36039,15395,NA,NA
"995",292650,"Ribeira do Amparo","BA",15269,2055,1741,NA
"996",292660,"Ribeira do Pombal","BA",51418,32198,32198,26.74
"997",292665,"Ribeirão do Largo","BA",8260,4462,0,NA
"998",292670,"Rio de Contas","BA",13616,6604,6604,50.27
"999",292680,"Rio do Antônio","BA",15628,6322,6322,NA
"1000",292690,"Rio do Pires","BA",12084,5340,5340,NA
"1001",292710,"Rodelas","BA",8887,7475,6655,89.03
"1002",292720,"Ruy Barbosa","BA",31867,23557,23557,7.07
"1003",292750,"Santa Bárbara","BA",20754,9437,9437,52.98
"1004",292760,"Santa Brígida","BA",15100,5626,5626,76.75
"1005",292790,"Santa Inês","BA",11177,10261,9225,58.96
"1006",292800,"Santaluz","BA",36915,22686,22686,NA
"1007",292820,"Santana","BA",27260,14850,14850,NA
"1008",292830,"Santanópolis","BA",9442,1812,1812,NA
"1009",292850,"Santa Teresinha","BA",10586,2561,2561,78.09
"1010",292880,"Santo Estêvão","BA",53193,30763,30763,1.43
"1011",292895,"São Domingos","BA",9877,6333,6333,NA
"1012",292905,"São Félix do Coribe","BA",15647,12696,10663,NA
"1013",292925,"São Gabriel","BA",19542,11129,11129,NA
"1014",292937,"São José do Jacuípe","BA",11061,7596,7596,NA
"1015",292970,"Sátiro Dias","BA",20320,4642,4642,NA
"1016",292980,"Saúde","BA",12739,7148,7148,NA
"1017",292990,"Seabra","BA",45202,21928,21928,NA
"1018",293000,"Sebastião Laranjeiras","BA",11528,4540,4540,NA
"1019",293010,"Senhor do Bonfim","BA",81330,62912,62912,53.45
"1020",293015,"Serra do Ramalho","BA",33011,6546,NA,NA
"1021",293020,"Sento Sé","BA",41464,24015,NA,NA
"1022",293030,"Serra Dourada","BA",18389,6094,6094,NA
"1023",293040,"Serra Preta","BA",15351,6898,6898,NA
"1024",293050,"Serrinha","BA",83275,51192,51192,14.65
"1025",293060,"Serrolândia","BA",13373,7886,7886,NA
"1026",293075,"Sítio do Mato","BA",13320,7590,NA,NA
"1027",293076,"Sítio do Quinto","BA",11767,4833,4833,NA
"1028",293077,"Sobradinho","BA",23583,21441,21412,80.45
"1029",293080,"Souto Soares","BA",17332,6583,6583,NA
"1030",293090,"Tabocas do Brejo Velho","BA",13025,4480,4480,NA
"1031",293100,"Tanhaçu","BA",21282,8816,8816,NA
"1032",293105,"Tanque Novo","BA",17702,8031,8031,NA
"1033",293110,"Tanquinho","BA",8553,6100,6100,NA
"1034",293130,"Tapiramutá","BA",17398,13467,13365,51.98
"1035",293150,"Teofilândia","BA",23011,7168,7168,32.09
"1036",293180,"Tremedal","BA",18187,4207,4207,NA
"1037",293190,"Tucano","BA",55777,23365,23365,48.08
"1038",293200,"Uauá","BA",25087,11112,11112,NA
"1039",293210,"Ubaíra","BA",20782,9283,9283,57.73
"1040",293240,"Uibaí","BA",14483,8834,8834,NA
"1041",293245,"Umburanas","BA",19055,8418,8418,NA
"1042",293260,"Urandi","BA",17301,6240,NA,NA
"1043",293280,"Utinga","BA",19593,13811,13811,NA
"1044",293300,"Valente","BA",27906,15324,15324,NA
"1045",293305,"Várzea da Roça","BA",14729,6924,6924,NA
"1046",293310,"Várzea do Poço","BA",9416,6294,6167,NA
"1047",293315,"Várzea Nova","BA",13470,8813,8813,99.4
"1048",293330,"Vitória da Conquista","BA",343230,307296,307296,90.17
"1049",293340,"Wagner","BA",9731,7022,7022,NA
"1050",293360,"Xique-Xique","BA",48316,34528,32016,18.1
"1051",310100,"Águas Vermelhas","MG",13447,9451,9451,38.58
"1052",310170,"Almenara","MG",41296,33814,30852,85.36
"1053",310270,"Cachoeira de Pajeú","MG",9410,4686,4235,NA
"1054",310340,"Araçuaí","MG",37270,24253,22651,52.97
